,present-singular,present-plural,historical-singular,historical-plural,passive-singular,type
0,яде,ядат,изял,изяли,изяден,food-verb
1,пише,пишат,написал,написали,написан,work-verb
2,улавя,улавят,улавял,улавяли,уловен,work-verb
3,гледа,гледат,гледал,гледали,изгледан,activity-verb
4,свири,свирят,свирел,свирели,изсвирен,work-verb
5,играе,играят,играел,играели,изигран,work-verb
6,решава,решават,решил,решили,решен,work-verb
7,засажда,засаждат,засаждал,засаждали,засаден,work-verb
8,строи,строят,построил,построили,построен,work-verb
9,сглобява,сглобяват,сглобявал,сглобявали,сглобен,work-verb
10,купува,купуват,купил,купили,купен,work-activity-verb
11,тренира,тренират,тренирал,тренирали,трениран,work-activity-verb
12,чете,четат,изчитал,изчитали,изчетен,work-activity-verb
13,cover,-,-,-,-,cover
14,снася,снасят,снасял,снасяли,снесан,verb
